Time,Biceps,Latissi Dorsi,Glut max,Erector Spinal,VL,RF,BF,Gastroc med
0.0,0.001303812583089275,0.0014251575427032279,-6.673236211058677e-05,-0.0006085425111754588,0.0008336187836508729,-6.399576745827826e-05,0.0015889526955727127,-0.00029531360707549313
0.005,0.002502211958472614,0.002498143588514483,0.0004802492760436352,0.0009453644501542048,0.00165035634808468,0.00036127321997625293,0.001981041059994762,0.00010493443487369033
0.01,0.003698414896365423,0.0035511450682635466,0.0010067750931077053,0.0024287965489172077,0.0024788648131722863,0.0007810271904537482,0.002349913980937611,0.00047434912612180695
0.015,0.004865891817227235,0.004556311383459817,0.001495547335644341,0.0038217718655805376,0.003301350619221468,0.0011910666897870115,0.0026918380870359117,0.0008100570030403202
0.02,0.0059829709750285915,0.0054931687340970415,0.001936863885648801,0.005109028337101316,0.0041023791011370785,0.0015877360819885836,0.0030049802946845302,0.0011111965847810114
0.025,0.007034256628994002,0.006348124658930623,0.002327391452878431,0.006277920610856385,0.004869946858584516,0.001967512514788702,0.0032892357065138662,0.0013781016417504016
0.03,0.008010372250324214,0.007113898444139726,0.002667865064938954,0.007319341803666198,0.005596495048339579,0.00232740437390402,0.0035453214637960018,0.0016116130994529591
0.035,0.008905419185501256,0.007788305390646348,0.002962001123489202,0.008229008271249056,0.006278045519533473,0.0026655443159812687,0.003773730361468485,0.0018123956545202532
0.04,0.009715637350756397,0.008371543089470641,0.003215687631077064,0.009006542923098822,0.006913497206445507,0.0029812980491898252,0.003974499754947943,0.001980590766286287
0.045,0.010440449375182664,0.008864959316457314,0.003435742801036729,0.009654125405253655,0.00750418665207515,0.0032753355067518517,0.004147615144701253,0.0021161531377575744
0.05,0.011082618373261788,0.009271955058519962,0.0036291382131109716,0.01017612108076313,0.008051510302756408,0.00354968782250445,0.004293676683669658,0.002219908979028087
0.055,0.011646808723756872,0.009599465620038813,0.0038024344177398635,0.010579057368786293,0.008554746369516359,0.003807147134459501,0.004414068770847815,0.002294484013169514
0.06,0.012139235189545688,0.009858430230368396,0.003961119130257061,0.010872015064000212,0.009011009135339157,0.00405043244466519,0.004510151327394992,0.0023440070408283567
0.065,0.012568084711739556,0.01006195045441714,0.004109313292348711,0.011067170065214169,0.009415717320258858,0.00428202761857696,0.004582590447929472,0.0023730012898235866
0.07,0.012942393004847003,0.010223027997862255,0.004249654490091178,0.011178969637947718,0.009764287782101169,0.004504141835007215,0.004631668890303547,0.0023855116946000787
0.075,0.013270353765917588,0.010353689053836723,0.004383239158726704,0.01122225671645402,0.010056188793491239,0.004718056661629031,0.004657542583554398,0.0023848532238397867
0.08,0.013558883429279951,0.010464313886850417,0.004510234565228671,0.011211130508777744,0.010296789831352765,0.004923755366186131,0.004659946772493054,0.0023738806828383654
0.085,0.013813694088664221,0.010562794422637507,0.0046309179978301085,0.011158795191114759,0.010494878774440237,0.005120207540109531,0.004638764772458054,0.0023551957308477595
0.09,0.014039316826517878,0.01065438029801035,0.004746024143057589,0.011077472390934666,0.010660345128375907,0.005305575626367785,0.004595331288645472,0.002331027382427538
0.095,0.014238859241322368,0.010742030403585732,0.004856733026686471,0.010978028970194467,0.010802913835446886,0.005477590387562607,0.004532425591015017,0.002303372749808164
0.1,0.014412406581509923,0.010826896789723909,0.004965179677602439,0.010869726014967067,0.010930517097429643,0.00563407033954206,0.004453047030986108,0.0022743535420819993
0.105,0.01455532295831609,0.010909573187101621,0.005074470377575841,0.010760194118167617,0.011048610037013974,0.005772664261937978,0.004360033759316338,0.002246079630170023
0.11,0.014659375458814891,0.010991505732330493,0.00518731736971363,0.010655414723300498,0.011159851622162036,0.005890296045931524,0.0042569458040600154,0.0022204345169272834
0.115,0.01471644378751105,0.011074744900420885,0.0053044616339893306,0.01055987692861281,0.0112633917083663,0.005983466297290134,0.004148416749034979,0.002199559259074808
0.12,0.014721218873095266,0.011160487595057679,0.005424294078814967,0.010476919992728444,0.011356035939182342,0.00604936697215076,0.004039214815565256,0.0021863031070105546
0.125,0.014671827023259004,0.011248039105591813,0.005543917983692882,0.010408863305175998,0.011435439548850393,0.006087159968857479,0.003933224126920203,0.0021837764481001005
0.13,0.014570801046427233,0.011334389682255433,0.00566054823811194,0.01035714706837912,0.01150235939345474,0.006098232222414937,0.0038329080792499685,0.0021946351051633103
0.135,0.014425492712283853,0.011414075650858585,0.00577164233883594,0.010322631748899202,0.01156111040634867,0.006084687871906096,0.0037390065993769895,0.002220713358501299
0.14,0.014245596494666932,0.011480584795314455,0.005874435973417018,0.010305323670561901,0.011618837621996643,0.006047606778046402,0.0036507543532735614,0.0022629324016409207
0.145,0.014040178106619224,0.011530240057196817,0.005966749182254398,0.010303972797418594,0.011683038426075956,0.005987015589453008,0.003567001769180387,0.002321527391238613
0.15,0.013816153496829083,0.011564880518215822,0.006047505249794477,0.010316480884288026,0.011758497554663436,0.0059037653789882506,0.003487416287246845,0.0023962455489254233
0.155,0.013577730152367197,0.011589765189561013,0.006115535475413114,0.01034034249606673,0.011846174177987815,0.0058014213003110306,0.0034125791641720685,0.002486054958109907
0.16,0.013328536280776213,0.011609424143935093,0.006169305766217922,0.01037267145837169,0.011943980222467303,0.0056855785034758384,0.003343536607482378,0.0025888918935671793
0.165,0.013074846889529923,0.01162556079497352,0.006207932330119889,0.010410423727546863,0.012048251974137567,0.005561202127326063,0.003281654784012634,0.0027021373049230836
0.17,0.012825472749121793,0.011637701589507197,0.006231053404722008,0.010450682431026937,0.012155280447586037,0.0054311689586167815,0.0032284342120543603,0.002823323991879861
0.17500000000000002,0.012589860415507423,0.011645438919996727,0.006237962820367288,0.010490581191180284,0.012262296408276653,0.005296897887915638,0.0031852125387907696,0.0029501928775100624
0.18,0.012376512055604198,0.011650145568118041,0.006227605731997254,0.010527158255351641,0.012367373703668708,0.005159488995342819,0.0031531685771834465,0.003080283979940154
0.185,0.012191376832932171,0.011654146726008644,0.006199552224963822,0.010557851651673496,0.012467948441166636,0.005020255866718754,0.003133471766919111,0.003210610261960454
0.19,0.012037862692507366,0.011658843740995985,0.006154872658581729,0.010581632410511792,0.012559525041326649,0.004880987869498318,0.0031269787489212465,0.003337590083281754
0.195,0.011917920054598793,0.011665509484758536,0.006095754152817679,0.010599348368001086,0.01263620263857202,0.004744417021796127,0.0031336567747003363,0.0034575769088965166
0.2,0.011832246959153825,0.01167783188284506,0.00602441193051482,0.01061256413305342,0.012691665237772865,0.004614066771222895,0.0031526115812157687,0.0035677915891466285
0.20500000000000002,0.01178082331571108,0.011701518889378475,0.005942841208641231,0.010622306551804307,0.01271875772749698,0.004493288684764966,0.003182693591835785,0.0036665402150729627
0.21,0.011763202867234713,0.011741270955651452,0.0058532246466579075,0.010628782495461363,0.012709239115367116,0.004384908200203198,0.0032230444038731615,0.0037524988499204747
0.215,0.011777070878896118,0.011799809409921421,0.005757758731630402,0.010631619117266353,0.012656446656288258,0.004291355787096974,0.003273368393570934,0.0038240884899586433
0.22,0.011817823658424174,0.011879512566632167,0.00565787385658501,0.010630022544119511,0.012558444383027867,0.004214285978767031,0.003333668321944307,0.003879517770951566
0.225,0.011879906887362304,0.01198376331915139,0.005553600062960703,0.010622705361851776,0.012418396294174445,0.0041546190794636735,0.003403408669445552,0.003917258846803634
0.23,0.011956572151784247,0.012116989501603854,0.00544416957778992,0.010607687336709625,0.012243477255082137,0.004113169689212341,0.003480890167554151,0.003936509033360729
0.23500000000000001,0.012038647119456566,0.012283049052230224,0.00532973782388561,0.010582363295476079,0.012042656765047607,0.004090342603683376,0.0035635331853172206,0.003937676934141937
0.24,0.012115434404371943,0.012482638512483135,0.005211781389201493,0.010544087921136017,0.011823189961042667,0.004085319183809858,0.003648674151484664,0.003922913399777252
0.245,0.012177361566753852,0.012712597397819218,0.005091655291296412,0.01049120144977097,0.01158927055098262,0.004096317657418705,0.0037339294419332716,0.0038959490436588935
0.25,0.012218660774854695,0.012967410985148909,0.0049700953706901555,0.010424434258671402,0.011344565814190796,0.004121435263940176,0.003816896557611791,0.0038612254604853177
0.255,0.012238015789913863,0.013240299289922097,0.004848532979420549,0.010347461695815503,0.011095500814446106,0.004158879706822753,0.0038948812109051347,0.003823053252688004
0.26,0.012236253273691287,0.013523418547795471,0.004730162362761297,0.010265478210110264,0.0108525810258475,0.004206717901266438,0.003965610640573908,0.003784985245036279
0.265,0.012214730261321267,0.013808323021233429,0.004619519861305618,0.010183634333742355,0.010629058580550445,0.004262665795311048,0.0040288348940503435,0.003749460370236531
0.27,0.012175696017007116,0.01408638590509148,0.004521053967734977,0.010107121994908133,0.010437336912468556,0.004324368076310417,0.004087082390942323,0.003717702358552648
0.275,0.012121440077322049,0.014348261730132384,0.004437853117102992,0.010041492730669123,0.010285983280013141,0.004390037399149594,0.004144486588065107,0.0036897625815002287
0.28,0.012053186678294537,0.014582965780950165,0.00437128602832079,0.009991787251924131,0.010178946419409564,0.0044582868507285125,0.004204955095774279,0.0036648997013875714
0.28500000000000003,0.011971972599983479,0.014778326528474762,0.0043211874037893255,0.009961297510431724,0.010115800469382721,0.004527043136057911,0.0042711800949217565,0.0036421819053376863
